Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
680.000000	0.0134928 	680.000000	0.0156836 	680.000000	0.0156529 	680.000000	0.0155453 	680.000000	0.0156805 	680.000000	3.06831e-06	
700.000000	0.0133583 	700.000000	0.0155349 	700.000000	0.015506  	700.000000	0.0153987 	700.000000	0.0155319 	700.000000	2.98687e-06	
720.000000	0.0132321 	720.000000	0.0153955 	720.000000	0.0153682 	720.000000	0.0152613 	720.000000	0.0153926 	720.000000	2.90979e-06	
740.000000	0.0131135 	740.000000	0.0152646 	740.000000	0.0152387 	740.000000	0.0151324 	740.000000	0.0152618 	740.000000	2.83671e-06	
760.000000	0.0130021 	760.000000	0.0151417 	760.000000	0.0151171 	760.000000	0.0150112 	760.000000	0.015139  	760.000000	2.76734e-06	
780.000000	0.0128972 	780.000000	0.0150261 	780.000000	0.0150026 	780.000000	0.0148971 	780.000000	0.0150234 	780.000000	2.70139e-06	
800.000000	0.0127985 	800.000000	0.0149173 	800.000000	0.0148949 	800.000000	0.0147897 	800.000000	0.0149147 	800.000000	2.63862e-06	
820.000000	0.0127055 	820.000000	0.0148148 	820.000000	0.0147932 	820.000000	0.0146885 	820.000000	0.0148122 	820.000000	2.57879e-06	
840.000000	0.0126178 	840.000000	0.0147182 	840.000000	0.0146973 	840.000000	0.0145929 	840.000000	0.0147156 	840.000000	2.52171e-06	
860.000000	0.012535  	860.000000	0.0146269 	860.000000	0.0146067 	860.000000	0.0145026 	860.000000	0.0146245 	860.000000	2.46718e-06	
880.000000	0.0124569 	880.000000	0.0145408 	880.000000	0.014521  	880.000000	0.0144172 	880.000000	0.0145384 	880.000000	2.41503e-06	
900.000000	0.0123831 	900.000000	0.0144595 	900.000000	0.0144399 	900.000000	0.0143364 	900.000000	0.0144571 	900.000000	2.36512e-06	
920.000000	0.0123134 	920.000000	0.0143826 	920.000000	0.0143631 	920.000000	0.0142599 	920.000000	0.0143803 	920.000000	2.3173e-06	
940.000000	0.0122476 	940.000000	0.0143099 	940.000000	0.0142903 	940.000000	0.0141874 	940.000000	0.0143076 	940.000000	2.27144e-06	
960.000000	0.0121854 	960.000000	0.0142411 	960.000000	0.0142213 	960.000000	0.0141187 	960.000000	0.0142389 	960.000000	2.22741e-06	
980.000000	0.0121266 	980.000000	0.014176  	980.000000	0.0141558 	980.000000	0.0140534 	980.000000	0.0141739 	980.000000	2.18512e-06	
1000.000000	0.012071  	1000.000000	0.0141144 	1000.000000	0.0140936 	1000.000000	0.0139915 	1000.000000	0.0141123 	1000.000000	2.14446e-06	
1020.000000	0.0120184 	1020.000000	0.0140561 	1020.000000	0.0140344 	1020.000000	0.0139326 	1020.000000	0.014054  	1020.000000	2.10533e-06	
1040.000000	0.0119687 	1040.000000	0.0140008 	1040.000000	0.0139782 	1040.000000	0.0138767 	1040.000000	0.0139988 	1040.000000	2.06765e-06	
1060.000000	0.0119217 	1060.000000	0.0139485 	1060.000000	0.0139248 	1060.000000	0.0138234 	1060.000000	0.0139465 	1060.000000	2.03134e-06	
1080.000000	0.0118773 	1080.000000	0.0138989 	1080.000000	0.0138739 	1080.000000	0.0137728 	1080.000000	0.0138969 	1080.000000	1.99633e-06	
1100.000000	0.0118353 	1100.000000	0.013852  	1100.000000	0.0138255 	1100.000000	0.0137246 	1100.000000	0.01385   	1100.000000	1.96254e-06	
1120.000000	0.0117957 	1120.000000	0.0138075 	1120.000000	0.0137794 	1120.000000	0.0136787 	1120.000000	0.0138055 	1120.000000	1.92991e-06	
1140.000000	0.0117582 	1140.000000	0.0137653 	1140.000000	0.0137355 	1140.000000	0.0136349 	1140.000000	0.0137634 	1140.000000	1.89839e-06	
1160.000000	0.0117229 	1160.000000	0.0137254 	1160.000000	0.0136937 	1160.000000	0.0135932 	1160.000000	0.0137235 	1160.000000	1.86791e-06	
1180.000000	0.0116896 	1180.000000	0.0136876 	1180.000000	0.0136537 	1180.000000	0.0135535 	1180.000000	0.0136858 	1180.000000	1.83843e-06	
1200.000000	0.0116581 	1200.000000	0.0136518 	1200.000000	0.0136155 	1200.000000	0.0135155 	1200.000000	0.01365   	1200.000000	1.8099e-06	
