*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
115.000000	80820.5   	115.000000	79729.2   	115.000000	80019.3   	115.000000	80071.3   	115.000000	1062.11   	115.000000	517.471   	115.000000	939.692   	115.000000	735.421   	115.000000	962.653   	
120.000000	86906     	120.000000	85790.4   	120.000000	86073.2   	120.000000	86130.2   	120.000000	1140.14   	120.000000	553.784   	120.000000	1008.39   	120.000000	787.767   	120.000000	1034.15   	
125.000000	93166     	125.000000	92026.6   	125.000000	92302.1   	125.000000	92364.1   	125.000000	1220.1    	125.000000	590.93    	125.000000	1078.84   	125.000000	841.407   	125.000000	1107.61   	
130.000000	99597.5   	130.000000	98434.1   	130.000000	98702.6   	130.000000	98769.9   	130.000000	1301.94   	130.000000	628.915   	130.000000	1150.98   	130.000000	896.305   	130.000000	1182.98   	
135.000000	106198    	135.000000	105009    	135.000000	105272    	135.000000	105344    	135.000000	1385.6    	135.000000	667.716   	135.000000	1224.78   	135.000000	952.433   	135.000000	1260.22   	
140.000000	112963    	140.000000	111749    	140.000000	112005    	140.000000	112083    	140.000000	1471.02   	140.000000	707.285   	140.000000	1300.16   	140.000000	1009.75   	140.000000	1339.29   	
145.000000	119892    	145.000000	118650    	145.000000	118900    	145.000000	118985    	145.000000	1558.11   	145.000000	747.596   	145.000000	1377.09   	145.000000	1068.23   	145.000000	1420.13   	
150.000000	126981    	150.000000	125709    	150.000000	125954    	150.000000	126045    	150.000000	1646.83   	150.000000	788.641   	150.000000	1455.51   	150.000000	1127.84   	150.000000	1502.71   	
155.000000	134330    	155.000000	132923    	155.000000	133164    	155.000000	133262    	155.000000	1737.15   	155.000000	830.409   	155.000000	1535.41   	155.000000	1188.56   	155.000000	1586.99   	
160.000000	141831    	160.000000	140289    	160.000000	140527    	160.000000	140632    	160.000000	1829.02   	160.000000	872.881   	160.000000	1616.72   	160.000000	1250.36   	160.000000	1672.95   	
165.000000	149479    	165.000000	147804    	165.000000	148040    	165.000000	148152    	165.000000	1922.37   	165.000000	916.046   	165.000000	1699.41   	165.000000	1313.21   	165.000000	1760.54   	
170.000000	157271    	170.000000	155466    	170.000000	155701    	170.000000	155820    	170.000000	2017.18   	170.000000	959.876   	170.000000	1783.45   	170.000000	1377.09   	170.000000	1849.72   	
175.000000	165204    	175.000000	163270    	175.000000	163508    	175.000000	163634    	175.000000	2113.38   	175.000000	1004.33   	175.000000	1868.79   	175.000000	1441.97   	175.000000	1940.47   	
180.000000	173275    	180.000000	171216    	180.000000	171456    	180.000000	171590    	180.000000	2210.94   	180.000000	1049.42   	180.000000	1955.39   	180.000000	1507.83   	180.000000	2032.74   	
185.000000	181482    	185.000000	179300    	185.000000	179545    	185.000000	179686    	185.000000	2309.8    	185.000000	1095.14   	185.000000	2043.23   	185.000000	1574.64   	185.000000	2126.5    	
190.000000	189824    	190.000000	187520    	190.000000	187772    	190.000000	187920    	190.000000	2409.94   	190.000000	1141.45   	190.000000	2132.26   	190.000000	1642.39   	190.000000	2221.73   	
195.000000	198297    	195.000000	195873    	195.000000	196133    	195.000000	196290    	195.000000	2511.3    	195.000000	1188.34   	195.000000	2222.45   	195.000000	1711.05   	195.000000	2318.38   	
200.000000	206899    	200.000000	204357    	200.000000	204628    	200.000000	204792    	200.000000	2613.85   	200.000000	1235.82   	200.000000	2313.77   	200.000000	1780.6    	200.000000	2416.44   	
210.000000	224483    	210.000000	221708    	210.000000	222006    	210.000000	222187    	210.000000	2822.31   	210.000000	1332.45   	210.000000	2499.65   	210.000000	1922.27   	210.000000	2616.62   	
220.000000	242560    	220.000000	239557    	220.000000	239888    	220.000000	240087    	220.000000	3035      	220.000000	1431.16   	220.000000	2689.64   	220.000000	2067.23   	220.000000	2822.01   	
230.000000	261114    	230.000000	257886    	230.000000	258258    	230.000000	258477    	230.000000	3251.72   	230.000000	1531.89   	230.000000	2883.53   	230.000000	2215.34   	230.000000	3032.42   	
240.000000	280130    	240.000000	276679    	240.000000	277101    	240.000000	277340    	240.000000	3472.19   	240.000000	1634.56   	240.000000	3081.1    	240.000000	2366.46   	240.000000	3247.64   	
250.000000	299594    	250.000000	295920    	250.000000	296402    	250.000000	296660    	250.000000	3696.16   	250.000000	1739.1    	250.000000	3282.14   	250.000000	2520.46   	250.000000	3467.47   	
260.000000	319492    	260.000000	315596    	260.000000	316145    	260.000000	316424    	260.000000	3923.41   	260.000000	1845.43   	260.000000	3486.46   	260.000000	2677.19   	260.000000	3691.72   	
270.000000	339813    	270.000000	335692    	270.000000	336318    	270.000000	336617    	270.000000	4153.7    	270.000000	1953.47   	270.000000	3693.86   	270.000000	2836.54   	270.000000	3920.2    	
280.000000	360543    	280.000000	356195    	280.000000	356905    	280.000000	357226    	280.000000	4386.82   	280.000000	2063.18   	280.000000	3904.16   	280.000000	2998.38   	280.000000	4152.73   	
290.000000	381670    	290.000000	377091    	290.000000	377896    	290.000000	378238    	290.000000	4622.6    	290.000000	2174.44   	290.000000	4117.2    	290.000000	3162.61   	290.000000	4389.16   	
300.000000	403184    	300.000000	398370    	300.000000	399276    	300.000000	399640    	300.000000	4860.81   	300.000000	2287.13   	300.000000	4332.81   	300.000000	3329.1    	300.000000	4629.29   	
310.000000	425074    	310.000000	420019    	310.000000	421033    	310.000000	421421    	310.000000	5101.22   	310.000000	2401.26   	310.000000	4550.81   	310.000000	3497.74   	310.000000	4872.96   	
320.000000	447329    	320.000000	442027    	320.000000	443155    	320.000000	443569    	320.000000	5343.71   	320.000000	2516.76   	320.000000	4771.07   	320.000000	3668.44   	320.000000	5120.04   	
