* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    1         2         6        102.176           2090
    1         2         6        108.337           2216
    1         2         6        114.485           2342
    1         2         6        120.623           2468
    1         2         6        126.755           2594
    1         2         6        132.882           2720
    1         2         6        139.007           2846
    1         2         6        145.131           2972
    1         2         6        151.256           3098
    1         2         6        157.384           3224
    1         2         6        163.516           3350
    1         2         6        169.653           3476
    1         2         6        175.796           3602
    1         2         6        181.946           3728
    1         2         6        188.104           3854
    1         2         6        194.272           3980
    1         3         6        4.86339            200
    1         3         6         14.179            326
    1         3         6        22.6255            452
    1         3         6        30.6276            578
    1         3         6        38.3199            704
    1         3         6        45.7803            830
    1         3         6        53.0447            956
    1         3         6        60.1344           1082
    1         3         6        67.0377           1208
    1         3         6        73.8275           1334
    1         3         6        80.5113           1460
    1         3         6        87.1073           1586
    1         3         6        93.6278           1712
    1         3         6        100.083           1838
    1         3         6        106.483           1964
    1         3         6        112.833           2090
    1         3         6        119.142           2216
    1         3         6        125.414           2342
    1         3         6        131.654           2468
    1         3         6        137.867           2594
    1         3         6        144.056           2720
    1         3         6        150.224           2846
    1         3         6        156.375           2972
    1         3         6        162.512           3098
    1         3         6        168.636           3224
    1         3         6         174.75           3350
    1         3         6        180.856           3476
    1         3         6        186.956           3602
    1         3         6         193.05           3728
    1         3         6        199.142           3854
    1         3         6        205.232           3980
    1         3         7        4.43329            200
    1         3         7        14.1409            326
    1         3         7        22.9116            452
    1         3         7        31.1926            578
    1         3         7        39.1334            704
