Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
185.000000	0.00800294	185.000000	0.00807521	185.000000	0.00795006	185.000000	0.00793118	185.000000	0.00807243	185.000000	2.78122e-06	
190.000000	0.00786807	190.000000	0.00793886	190.000000	0.00781457	190.000000	0.00779615	190.000000	0.00793614	190.000000	2.71373e-06	
195.000000	0.00773972	195.000000	0.00780923	195.000000	0.00768619	195.000000	0.00766777	195.000000	0.00780658	195.000000	2.64957e-06	
200.000000	0.00761743	200.000000	0.00768585	200.000000	0.00756425	200.000000	0.00754557	200.000000	0.00768326	200.000000	2.58847e-06	
210.000000	0.00738937	210.000000	0.00745608	210.000000	0.00733614	210.000000	0.007318  	210.000000	0.00745361	210.000000	2.47466e-06	
220.000000	0.00718093	220.000000	0.00724651	220.000000	0.00712876	220.000000	0.00711043	220.000000	0.00724414	220.000000	2.37077e-06	
230.000000	0.00698966	230.000000	0.00705459	230.000000	0.00693838	230.000000	0.00692037	230.000000	0.00705231	230.000000	2.27555e-06	
240.000000	0.00681352	240.000000	0.00687818	240.000000	0.00676298	240.000000	0.00674571	240.000000	0.00687599	240.000000	2.18795e-06	
250.000000	0.00665076	250.000000	0.00671549	250.000000	0.00660204	250.000000	0.00658468	250.000000	0.00671339	250.000000	2.10707e-06	
260.000000	0.00649992	260.000000	0.006565  	260.000000	0.00645305	260.000000	0.00643576	260.000000	0.00656296	260.000000	2.03216e-06	
270.000000	0.00635973	270.000000	0.00642538	270.000000	0.00631457	270.000000	0.00629766	270.000000	0.00642342	270.000000	1.96258e-06	
280.000000	0.0062291 	280.000000	0.00629552	280.000000	0.00618643	280.000000	0.00616926	280.000000	0.00629362	280.000000	1.89777e-06	
290.000000	0.00610708	290.000000	0.00617444	290.000000	0.00606649	290.000000	0.0060496 	290.000000	0.0061726 	290.000000	1.83725e-06	
300.000000	0.00599285	300.000000	0.00606129	300.000000	0.00595419	300.000000	0.00593783	300.000000	0.00605951	300.000000	1.7806e-06	
310.000000	0.0058857 	310.000000	0.00595532	310.000000	0.00584938	310.000000	0.00583322	310.000000	0.00595359	310.000000	1.72746e-06	
320.000000	0.005785  	320.000000	0.00585589	320.000000	0.00575148	320.000000	0.00573513	320.000000	0.00585421	320.000000	1.67751e-06	
330.000000	0.00569017	330.000000	0.00576242	330.000000	0.00565923	330.000000	0.00564296	330.000000	0.00576079	330.000000	1.63047e-06	
340.000000	0.00560073	340.000000	0.0056744 	340.000000	0.00557209	340.000000	0.00555623	340.000000	0.00567282	340.000000	1.58608e-06	
350.000000	0.00551624	350.000000	0.00559138	350.000000	0.00548998	350.000000	0.00547448	350.000000	0.00558984	350.000000	1.54413e-06	
360.000000	0.00543631	360.000000	0.00551296	360.000000	0.0054128 	360.000000	0.00539731	360.000000	0.00551145	360.000000	1.50442e-06	
370.000000	0.00536058	370.000000	0.00543877	370.000000	0.00534001	370.000000	0.00532435	370.000000	0.0054373 	370.000000	1.46677e-06	
380.000000	0.00528874	380.000000	0.00536849	380.000000	0.00527079	380.000000	0.00525529	380.000000	0.00536706	380.000000	1.43103e-06	
390.000000	0.0052205 	390.000000	0.00530183	390.000000	0.00520507	390.000000	0.00518983	390.000000	0.00530043	390.000000	1.39704e-06	
400.000000	0.0051556 	400.000000	0.00523853	400.000000	0.005143  	400.000000	0.00512771	400.000000	0.00523716	400.000000	1.36469e-06	
410.000000	0.00509382	410.000000	0.00517834	410.000000	0.00508412	410.000000	0.0050687 	410.000000	0.00517701	410.000000	1.33385e-06	
420.000000	0.00503494	420.000000	0.00512106	420.000000	0.00502789	420.000000	0.00501258	420.000000	0.00511975	420.000000	1.30443e-06	
430.000000	0.00497877	430.000000	0.00506648	430.000000	0.00497418	430.000000	0.00495914	430.000000	0.0050652 	430.000000	1.27632e-06	
440.000000	0.00492513	440.000000	0.00501443	440.000000	0.00492299	440.000000	0.00490822	440.000000	0.00501318	440.000000	1.24943e-06	
450.000000	0.00487386	450.000000	0.00496474	450.000000	0.00487426	450.000000	0.00485964	450.000000	0.00496352	450.000000	1.2237e-06	
460.000000	0.00482482	460.000000	0.00491727	460.000000	0.0048279 	460.000000	0.00481327	460.000000	0.00491607	460.000000	1.19904e-06	
470.000000	0.00477787	470.000000	0.00487187	470.000000	0.0047837 	470.000000	0.00476895	470.000000	0.00487069	470.000000	1.17539e-06	
480.000000	0.00473288	480.000000	0.00482842	480.000000	0.00474134	480.000000	0.00472658	480.000000	0.00482727	480.000000	1.15268e-06	
490.000000	0.00468975	490.000000	0.00478681	490.000000	0.00470066	490.000000	0.00468602	490.000000	0.00478568	490.000000	1.13087e-06	
500.000000	0.00464836	500.000000	0.00474693	500.000000	0.0046616 	500.000000	0.00464717	500.000000	0.00474582	500.000000	1.1099e-06	
520.000000	0.00457044	520.000000	0.00467196	520.000000	0.00458829	520.000000	0.00457422	520.000000	0.00467089	520.000000	1.07027e-06	
540.000000	0.00449843	540.000000	0.00460281	540.000000	0.00452113	540.000000	0.00450703	540.000000	0.00460178	540.000000	1.03348e-06	
560.000000	0.00443172	560.000000	0.00453888	560.000000	0.00445915	560.000000	0.00444498	560.000000	0.00453788	560.000000	9.99206e-07	
580.000000	0.00436979	580.000000	0.00447963	580.000000	0.00440145	580.000000	0.00438756	580.000000	0.00447867	580.000000	9.6721e-07	
600.000000	0.00431219	600.000000	0.00442462	600.000000	0.00434816	600.000000	0.00433429	600.000000	0.00442369	600.000000	9.37267e-07	
620.000000	0.00425852	620.000000	0.00437345	620.000000	0.00429878	620.000000	0.00428479	620.000000	0.00437254	620.000000	9.09183e-07	
640.000000	0.00420844	640.000000	0.00432575	640.000000	0.00425257	640.000000	0.0042387 	640.000000	0.00432487	640.000000	8.82788e-07	
660.000000	0.00416162	660.000000	0.00428124	660.000000	0.00420932	660.000000	0.00419572	660.000000	0.00428038	660.000000	8.57932e-07	
680.000000	0.00411781	680.000000	0.00423962	680.000000	0.00416894	680.000000	0.00415556	680.000000	0.00423879	680.000000	8.34484e-07	
700.000000	0.00407675	700.000000	0.00420067	700.000000	0.00413131	700.000000	0.00411799	700.000000	0.00419986	700.000000	8.12325e-07	
720.000000	0.00403823	720.000000	0.00416417	720.000000	0.0040962 	720.000000	0.00408279	720.000000	0.00416338	720.000000	7.91351e-07	
740.000000	0.00400205	740.000000	0.00412991	740.000000	0.00406323	740.000000	0.00404977	740.000000	0.00412914	740.000000	7.71469e-07	
760.000000	0.00396804	760.000000	0.00409774	760.000000	0.00403212	760.000000	0.00401875	760.000000	0.00409698	760.000000	7.52594e-07	
780.000000	0.00393604	780.000000	0.00406748	780.000000	0.00400277	780.000000	0.00398958	780.000000	0.00406675	780.000000	7.3465e-07	
800.000000	0.00390591	800.000000	0.00403901	800.000000	0.00397513	800.000000	0.00396212	800.000000	0.00403829	800.000000	7.17571e-07	
820.000000	0.00387752	820.000000	0.00401219	820.000000	0.00394925	820.000000	0.00393637	820.000000	0.00401149	820.000000	7.01293e-07	
840.000000	0.00385075	840.000000	0.00398692	840.000000	0.00392551	840.000000	0.00391268	840.000000	0.00398623	840.000000	6.85762e-07	
860.000000	0.00382549	860.000000	0.00396308	860.000000	0.0039032 	860.000000	0.00389032	860.000000	0.0039624 	860.000000	6.70927e-07	
880.000000	0.00380165	880.000000	0.00394057	880.000000	0.00388214	880.000000	0.00386919	880.000000	0.00393991	880.000000	6.5674e-07	
900.000000	0.00377914	900.000000	0.00391932	900.000000	0.00386218	900.000000	0.00384922	900.000000	0.00391868	900.000000	6.43161e-07	
920.000000	0.00375787	920.000000	0.00389924	920.000000	0.00384322	920.000000	0.00383032	920.000000	0.00389861	920.000000	6.30151e-07	
940.000000	0.00373778	940.000000	0.00388026	940.000000	0.00382521	940.000000	0.00381243	940.000000	0.00387964	940.000000	6.17674e-07	
960.000000	0.00371879	960.000000	0.00386231	960.000000	0.00380813	960.000000	0.00379547	960.000000	0.00386171	960.000000	6.05697e-07	
980.000000	0.00370084	980.000000	0.00384533	980.000000	0.00379194	980.000000	0.0037794 	980.000000	0.00384474	980.000000	5.94191e-07	
1000.000000	0.00368387	1000.000000	0.00382927	1000.000000	0.0037766 	1000.000000	0.00376416	1000.000000	0.00382869	1000.000000	5.83129e-07	
1020.000000	0.00366782	1020.000000	0.00381406	1020.000000	0.00376209	1020.000000	0.0037497 	1020.000000	0.00381349	1020.000000	5.72484e-07	
1040.000000	0.00365266	1040.000000	0.00379967	1040.000000	0.00374836	1040.000000	0.00373596	1040.000000	0.00379911	1040.000000	5.62234e-07	
1060.000000	0.00363832	1060.000000	0.00378605	1060.000000	0.00373536	1060.000000	0.00372292	1060.000000	0.00378549	1060.000000	5.52356e-07	
1080.000000	0.00362476	1080.000000	0.00377315	1080.000000	0.00372301	1080.000000	0.00371052	1080.000000	0.0037726 	1080.000000	5.42831e-07	
1100.000000	0.00361196	1100.000000	0.00376093	1100.000000	0.00371125	1100.000000	0.00369873	1100.000000	0.0037604 	1100.000000	5.3364e-07	
1120.000000	0.00359986	1120.000000	0.00374937	1120.000000	0.00370002	1120.000000	0.00368752	1120.000000	0.00374885	1120.000000	5.24765e-07	
1140.000000	0.00358843	1140.000000	0.00373843	1140.000000	0.0036893 	1140.000000	0.00367686	1140.000000	0.00373791	1140.000000	5.16189e-07	
1160.000000	0.00357765	1160.000000	0.00372807	1160.000000	0.00367907	1160.000000	0.00366671	1160.000000	0.00372756	1160.000000	5.07899e-07	
1180.000000	0.00356747	1180.000000	0.00371826	1180.000000	0.00366934	1180.000000	0.00365705	1180.000000	0.00371776	1180.000000	4.9988e-07	
1200.000000	0.00355788	1200.000000	0.00370899	1200.000000	0.00366009	1200.000000	0.00364785	1200.000000	0.0037085 	1200.000000	4.92118e-07	
1220.000000	0.00354885	1220.000000	0.00370022	1220.000000	0.00365132	1220.000000	0.00363909	1220.000000	0.00369973	1220.000000	4.84601e-07	
1240.000000	0.00354034	1240.000000	0.00369193	1240.000000	0.00364299	1240.000000	0.00363074	1240.000000	0.00369145	1240.000000	4.77318e-07	
