Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
24250.936845	1.41862e+07	1.80312e+07	2.68045e+07	2.69303e+07	34000.1   	111342    	14424.4   	15374.6   	22621.4   
24344.569801	1.42067e+07	1.80724e+07	2.69016e+07	2.70278e+07	34060.8   	111902    	14458.3   	15409.5   	22674.5   
24438.202758	1.42272e+07	1.81136e+07	2.69988e+07	2.71253e+07	34121.5   	112462    	14492.3   	15444.4   	22727.6   
24531.835715	1.42478e+07	1.81547e+07	2.70959e+07	2.72229e+07	34182.2   	113023    	14526.2   	15479.3   	22780.7   
24625.468672	1.42683e+07	1.81959e+07	2.71931e+07	2.73204e+07	34243     	113583    	14560.1   	15514.2   	22833.8   
24719.101629	1.42889e+07	1.82371e+07	2.72902e+07	2.74179e+07	34303.7   	114143    	14594     	15549.1   	22886.9   
24812.734586	1.43094e+07	1.82783e+07	2.73873e+07	2.75154e+07	34364.4   	114703    	14628     	15584.1   	22940     
24906.367543	1.43299e+07	1.83194e+07	2.74845e+07	2.76129e+07	34425.1   	115263    	14661.9   	15619     	22993     
25000.000500	1.43505e+07	1.83606e+07	2.75816e+07	2.77104e+07	34485.9   	115823    	14695.8   	15653.9   	23046.1   
25093.633457	1.43699e+07	1.84006e+07	2.76784e+07	2.78076e+07	34545.1   	116391    	14729.4   	15688.3   	23098.6   
25187.266414	1.43894e+07	1.84406e+07	2.77752e+07	2.79048e+07	34604.4   	116959    	14763     	15722.8   	23151     
25280.899371	1.44089e+07	1.84806e+07	2.7872e+07	2.80019e+07	34663.7   	117527    	14796.6   	15757.3   	23203.4   
25374.532328	1.44284e+07	1.85206e+07	2.79688e+07	2.80991e+07	34723     	118095    	14830.2   	15791.7   	23255.9   
25468.165285	1.44479e+07	1.85606e+07	2.80656e+07	2.81963e+07	34782.3   	118662    	14863.8   	15826.2   	23308.3   
25561.798242	1.44673e+07	1.86006e+07	2.81624e+07	2.82934e+07	34841.6   	119230    	14897.4   	15860.6   	23360.7   
25655.431199	1.44868e+07	1.86406e+07	2.82592e+07	2.83906e+07	34900.9   	119798    	14931     	15895.1   	23413.1   
25749.064155	1.45063e+07	1.86806e+07	2.8356e+07	2.84878e+07	34960.2   	120366    	14964.6   	15929.5   	23465.6   
25842.697112	1.45258e+07	1.87206e+07	2.84528e+07	2.85849e+07	35019.5   	120934    	14998.2   	15964     	23518     
25936.330069	1.45453e+07	1.87606e+07	2.85496e+07	2.86821e+07	35078.8   	121502    	15031.8   	15998.5   	23570.4   
26029.963026	1.45644e+07	1.88003e+07	2.86463e+07	2.87792e+07	35137.6   	122072    	15065.3   	16032.8   	23622.6   
26123.595983	1.45829e+07	1.88392e+07	2.87428e+07	2.8876e+07	35195.6   	122647    	15098.5   	16066.8   	23674.5   
26217.228940	1.46014e+07	1.88781e+07	2.88393e+07	2.89728e+07	35253.5   	123223    	15131.8   	16100.9   	23726.3   
26310.861897	1.46199e+07	1.8917e+07	2.89358e+07	2.90697e+07	35311.5   	123798    	15165.1   	16134.9   	23778.1   
26404.494854	1.46384e+07	1.89559e+07	2.90322e+07	2.91665e+07	35369.4   	124373    	15198.4   	16168.9   	23829.9   
26498.127811	1.46569e+07	1.89948e+07	2.91287e+07	2.92633e+07	35427.4   	124948    	15231.6   	16203     	23881.7   
26591.760768	1.46754e+07	1.90337e+07	2.92252e+07	2.93602e+07	35485.3   	125524    	15264.9   	16237     	23933.5   
26685.393725	1.46939e+07	1.90726e+07	2.93217e+07	2.9457e+07	35543.3   	126099    	15298.2   	16271.1   	23985.4   
