*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
240.000000	92965.7   	240.000000	91807.4   	240.000000	91728.6   	240.000000	91946.6   	240.000000	664.402   	240.000000	313.586   	240.000000	555.492   	240.000000	452.583   	240.000000	594.945
250.000000	99424.5   	250.000000	98192.3   	250.000000	98118.7   	250.000000	98355.7   	250.000000	707.267   	250.000000	333.678   	250.000000	591.746   	250.000000	482.041   	250.000000	635.291
260.000000	106027    	260.000000	104721    	260.000000	104655    	260.000000	104912    	260.000000	750.745   	260.000000	354.09    	260.000000	628.586   	260.000000	512.021   	260.000000	676.447
270.000000	112770    	270.000000	111390    	270.000000	111333    	270.000000	111611    	270.000000	794.808   	270.000000	374.829   	270.000000	665.982   	270.000000	542.5     	270.000000	718.384
280.000000	119649    	280.000000	118193    	280.000000	118148    	280.000000	118448    	280.000000	839.408   	280.000000	395.884   	280.000000	703.899   	280.000000	573.455   	280.000000	761.065
290.000000	126660    	290.000000	125127    	290.000000	125097    	290.000000	125418    	290.000000	884.505   	290.000000	417.243   	290.000000	742.306   	290.000000	604.862   	290.000000	804.458
300.000000	133799    	300.000000	132188    	300.000000	132174    	300.000000	132518    	300.000000	930.076   	300.000000	438.895   	300.000000	781.178   	300.000000	636.704   	300.000000	848.54
310.000000	141063    	310.000000	139372    	310.000000	139378    	310.000000	139744    	310.000000	976.087   	310.000000	460.814   	310.000000	820.488   	310.000000	668.963   	310.000000	893.282
320.000000	148448    	320.000000	146675    	320.000000	146702    	320.000000	147092    	320.000000	1022.49   	320.000000	482.997   	320.000000	860.205   	320.000000	701.614   	320.000000	938.65
330.000000	155951    	330.000000	154093    	330.000000	154143    	330.000000	154558    	330.000000	1069.26   	330.000000	505.438   	330.000000	900.303   	330.000000	734.64    	330.000000	984.619
